type,account,created_at,so_diem_mua,chuc_danh,,,,,,,,,,,,,,,,
Mua Mpg,ductg,12/6/2020 7:30,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hoaduong86,11/6/2020 20:27,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuha97,10/6/2020 18:56,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,anthuongvp,10/6/2020 14:59,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thanh02,5/6/2020 16:24,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lehuyen01,5/6/2020 15:38,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,phuonglieu01,4/6/2020 9:33,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hongquandc,30/5/2020 18:13,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hongquandc,30/5/2020 18:12,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Oanhbinhduong,28/5/2020 15:31,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Oanhbinhduong,28/5/2020 15:30,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Oanhbinhduong,28/5/2020 15:29,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Oanhbinhduong,28/5/2020 15:28,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,phamthuy,24/5/2020 15:08,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,binhct1,6/5/2020 16:14,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nhiem87,12/6/2020 18:28,47710000,daily,,,,,,,,,,,,,,,,
Mua Mpg,dauphuong01,12/6/2020 18:15,40000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hoaduong86,27/5/2020 16:04,39194000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nguyenlanh1990,25/6/2020 22:15,32709000,daily,,,,,,,,,,,,,,,,
Mua Mpg,luongbs,24/5/2020 14:36,32432000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nhung02,12/6/2020 22:06,32000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Chung1963,10/6/2020 19:00,31610000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hoangtam84,6/6/2020 11:38,31606000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Trannhungquangxuong,12/6/2020 20:45,31400000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuha97,2/6/2020 8:54,31050000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Anhtuyet66,18/5/2020 17:24,30346000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nguyensy,1/6/2020 15:50,30312000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuong37,11/6/2020 20:56,30206000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuxuan123,12/6/2020 21:41,30114000,daily,,,,,,,,,,,,,,,,
Mua Mpg,daohang60,11/6/2020 21:22,30090000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Lehoang123,7/5/2020 17:14,30036000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hongquandc,22/5/2020 15:27,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nguyenhoaquangxuong,22/5/2020 15:16,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hongnhung20,21/5/2020 18:55,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nguyenminh20,21/5/2020 10:10,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hungyd1,20/5/2020 19:55,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thaona1,20/5/2020 16:26,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,yen01,20/5/2020 15:58,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lehuyenxuanlam,20/5/2020 14:51,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lehuyen01,20/5/2020 14:50,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thuthao3012,20/5/2020 0:59,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,anthien123,19/5/2020 16:45,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,huong01,18/5/2020 16:55,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thuyvl,18/5/2020 15:20,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,oanhvl,18/5/2020 14:00,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lehuyenxuanlam,18/5/2020 12:57,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thuyvanquangninh,18/5/2020 11:35,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,phungthihoan,17/5/2020 21:39,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thuyhana20,17/5/2020 14:06,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,huynhhuyen87,16/5/2020 15:10,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Huyentrang123,15/5/2020 16:57,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,trannhungquangxuong,15/5/2020 15:32,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hongquandc,13/5/2020 21:44,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hang181197,12/5/2020 15:02,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,daonam,12/5/2020 13:46,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lephuongquangxuong,12/5/2020 13:38,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,phamthuy,9/5/2020 16:20,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,dolongquangninh,9/5/2020 15:57,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,huyenle,8/5/2020 15:42,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nguyenhong02,7/5/2020 17:47,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,caoquang20,7/5/2020 17:34,30000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,ngokimnem123,22/5/2020 21:35,27000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,phamthuy,25/5/2020 20:26,22949000,daily,,,,,,,,,,,,,,,,
Mua Mpg,doanthithuy,25/5/2020 20:36,21908000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lienle65,26/5/2020 18:11,21834000,daily,,,,,,,,,,,,,,,,
Mua Mpg,trannham20,27/5/2020 11:27,21343000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nhutayqn,27/5/2020 16:27,21000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,ky57,27/5/2020 17:27,20855000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Nhuphuongqn,27/5/2020 17:51,20737000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nguyet67,29/5/2020 10:59,20580000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thanhket37,29/5/2020 12:31,20498000,daily,,,,,,,,,,,,,,,,
Mua Mpg,danh80,30/5/2020 6:08,20440000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuydk,30/5/2020 8:58,20434000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thungan,30/5/2020 12:53,20420000,daily,,,,,,,,,,,,,,,,
Mua Mpg,chautailoc5,30/5/2020 22:19,20400000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thuylinh,1/6/2020 9:41,20340000,daily,,,,,,,,,,,,,,,,
Mua Mpg,huythuyvp,1/6/2020 15:02,20296000,daily,,,,,,,,,,,,,,,,
Mua Mpg,phamthoihd,1/6/2020 16:16,20232000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hungyd1,1/6/2020 20:10,20216000,daily,,,,,,,,,,,,,,,,
Mua Mpg,quyht1,1/6/2020 18:27,20216000,daily,,,,,,,,,,,,,,,,
Mua Mpg,manh1975,1/6/2020 22:53,20200000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuong83,1/6/2020 23:17,20194000,daily,,,,,,,,,,,,,,,,
Mua Mpg,buihoa37,2/6/2020 13:01,20130000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nhan1957,2/6/2020 14:43,20124000,daily,,,,,,,,,,,,,,,,
Mua Mpg,binhct,2/6/2020 15:50,20120000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Manh70,2/6/2020 22:58,20080000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Linh90,2/6/2020 23:26,20077000,daily,,,,,,,,,,,,,,,,
Mua Mpg,myhiendaily,3/6/2020 10:54,20070000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hien83,3/6/2020 15:32,20050000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuha83,3/6/2020 20:43,20044000,daily,,,,,,,,,,,,,,,,
Mua Mpg,chung05,4/6/2020 21:22,20020000,daily,,,,,,,,,,,,,,,,
Mua Mpg,trannhungquangxuong,5/6/2020 11:40,20015000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Nhutayqn,4/6/2020 22:22,20015000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lehuyenxuanlam,5/6/2020 15:37,20000077,daily,,,,,,,,,,,,,,,,
Mua Mpg,trunghieuqn,14/7/2020 12:48,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuthuyqn,13/7/2020 16:48,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Nhutayqn,13/7/2020 15:08,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,buiyen,13/7/2020 11:26,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,yen01,8/7/2020 20:35,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nhumai2,6/7/2020 17:04,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,dailyledao69ht,2/7/2020 11:41,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,vutam1991,2/7/2020 10:59,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,ngokimnem123,29/6/2020 12:18,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,quang84,27/6/2020 16:29,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lethuong1992,27/6/2020 16:07,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nguyet67,26/6/2020 11:19,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,trangbinhphuoc91,25/6/2020 18:59,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thanhtruc02,24/6/2020 23:13,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,daonguyen1983,24/6/2020 16:45,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,honu84,23/6/2020 15:35,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,danglan80,22/6/2020 15:34,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,duongbinh73,22/6/2020 15:16,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,danh80,20/6/2020 18:53,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Huyentrang123,13/6/2020 16:43,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,duong90,13/6/2020 16:06,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Bavuihailinh,13/6/2020 11:49,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,tuyetxuan79,13/6/2020 11:38,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hangtao20,13/6/2020 10:49,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Ngan72,13/6/2020 10:23,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,doanthithuy,12/6/2020 23:07,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,tho83,12/6/2020 22:33,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thaona1,12/6/2020 22:25,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lethuong1992,12/6/2020 22:11,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hongnguyen86,12/6/2020 21:38,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Nhutayqn,12/6/2020 21:33,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thanh02,12/6/2020 21:24,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thuong37,12/6/2020 21:23,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,myhuong79,12/6/2020 21:16,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thanh02,12/6/2020 18:38,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,duongthuan02,12/6/2020 18:32,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,doanthithuy,12/6/2020 18:26,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Giang81,12/6/2020 18:13,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Anh96,12/6/2020 18:11,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lienle1965,12/6/2020 17:30,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hoanghue86,12/6/2020 17:30,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Trungbichlt,12/6/2020 16:40,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,ducthiet1984,12/6/2020 16:18,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,laiha66,12/6/2020 15:34,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,levinh01,12/6/2020 15:26,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Huongtg1,12/6/2020 15:17,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thu123,12/6/2020 14:57,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hientg1,12/6/2020 14:38,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Anhtuyet66,12/6/2020 13:46,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nhungoc1,12/6/2020 12:07,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,dao37,12/6/2020 11:53,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nganbd,12/6/2020 11:48,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,dautinh,12/6/2020 11:04,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,trannhungquangxuong,12/6/2020 10:51,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,quang84,12/6/2020 9:48,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nhan1957,12/6/2020 8:58,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lehuyen01,11/6/2020 22:16,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,phuong02,11/6/2020 20:20,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,haphuongna20,11/6/2020 18:43,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,tuandaily123,11/6/2020 15:13,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,duongmoc,11/6/2020 10:14,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,luongbs,11/6/2020 7:17,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lethuong1992,10/6/2020 20:49,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,tranduyhd,9/6/2020 22:11,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,habacninh,9/6/2020 21:35,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,tieple1991,9/6/2020 13:36,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,dunghung87,9/6/2020 11:08,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,ngocuyen,9/6/2020 10:04,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,ngokimnem123,8/6/2020 14:25,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,haphuongna20,7/6/2020 19:27,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,hoanket37,6/6/2020 18:01,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,daonam,6/6/2020 8:36,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,danh80,5/6/2020 16:08,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,duongthuan02,5/6/2020 15:40,20000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,vanliem20,6/5/2020 16:25,19800000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyennga,6/5/2020 16:26,17500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,trankhuong6868,6/5/2020 16:27,16000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Hoandc,6/5/2020 22:12,15000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Hoatrandc,6/5/2020 22:15,14000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,samdc,6/5/2020 22:25,12500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Hoaidc,6/5/2020 22:41,10440000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,chautailoc5,7/5/2020 7:52,10374000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,lehuong20,7/5/2020 8:35,10000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,phamluong20,7/5/2020 8:31,10000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thanhtt,7/5/2020 8:15,10000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyenquang20,7/5/2020 8:37,9932000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,trongphuong20,7/5/2020 8:47,8700000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyenquang20,7/5/2020 8:48,7840000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,giang2020,7/5/2020 9:01,7700000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,phuong2020,7/5/2020 9:02,7632000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Thiminh123,7/5/2020 9:04,7500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,quyen6789,7/5/2020 9:13,7245000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Phungdao68,7/5/2020 9:13,7100000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,luong37,7/5/2020 10:56,7000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,lehuyen01,7/5/2020 9:27,7000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,lehien,7/5/2020 9:23,7000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,lelai,7/5/2020 9:23,7000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyenhoa20,7/5/2020 9:22,7000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,dao37,7/5/2020 11:02,6995000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thuyhang,7/5/2020 13:26,6500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,lienle65,7/5/2020 13:20,6500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,ledaotruclam,7/5/2020 17:46,6122000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,ngocminh1987,7/5/2020 15:24,6122000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,kimmai73,7/5/2020 19:33,6000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hoantanky,7/5/2020 19:20,6000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thaobt,7/5/2020 21:13,5719000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,langthiha,8/5/2020 10:59,5275000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,NGUYENTHINGAN,8/5/2020 12:18,5250000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Quanthituat,8/5/2020 16:35,5161000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,buithihien,8/5/2020 17:09,5140000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,vuhangna5,9/5/2020 5:35,5000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thanhhuyen2020,8/5/2020 22:13,5000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,tuyetmai,9/5/2020 8:43,4630000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hoangthi,9/5/2020 8:44,4623000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,tomai20,9/5/2020 8:46,4562000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hien01,9/5/2020 9:00,4500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyentrang20,9/5/2020 8:48,4500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,lienle65,9/5/2020 12:18,4438000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nhungnguyen89,9/5/2020 12:25,4249000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thaitam20,9/5/2020 12:34,4200000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,ngochieudc,9/5/2020 13:02,4140000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,tuandong,9/5/2020 16:56,4132000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,lienle65,9/5/2020 17:01,4116000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thuha,10/5/2020 7:25,4088000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hang1964,10/5/2020 23:27,4000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,ngocha68,10/5/2020 21:19,4000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thuytien,10/5/2020 7:32,4000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thaogiang,11/5/2020 7:28,3940000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hoacao93,11/5/2020 10:17,3850000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Minhluu82,11/5/2020 11:12,3680000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hoangthi,11/5/2020 11:33,3640000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyentrangqn,11/5/2020 11:40,3535000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thao01,11/5/2020 15:14,3500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,oanhvl,11/5/2020 15:13,3500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,NGUYENVANTRUONG,12/5/2020 9:31,3474000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyenluong68,12/5/2020 12:12,3440000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nganhuongvt,12/5/2020 13:42,3425000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyenhuong84,12/5/2020 13:47,3400000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,ngocha68,12/5/2020 19:52,3380000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hongtoan,12/5/2020 22:25,3260000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thanghuong,12/5/2020 22:47,3200000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,phamluong20,13/5/2020 16:19,3150000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,han6789,13/5/2020 16:31,3088000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyennga,13/5/2020 16:40,3069000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,vantuan71,13/5/2020 17:43,3057000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thuongquan,13/5/2020 17:49,3030000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,chautailoc5,13/5/2020 17:48,3030000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hoahien,13/5/2020 18:14,3020000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hoangduy,13/5/2020 18:53,3010000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyendanlena20,13/5/2020 22:05,3000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,phusyth,13/5/2020 21:34,3000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,kimphuong61,13/5/2020 20:42,3000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,phuongnguyen89,13/5/2020 20:03,3000000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nnguyenoanh,14/5/2020 9:05,2941000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Khacbinh123,14/5/2020 10:05,2800000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,minhphidungna20,14/5/2020 9:10,2800000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,phutuanth,14/5/2020 10:24,2740000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,ducthanh,14/5/2020 10:52,2660000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,tranhuong,14/5/2020 11:17,2635000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,van68,14/5/2020 13:29,2629000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,dieulinhna20,14/5/2020 21:35,2610000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,huyhuy07,14/5/2020 23:58,2582000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,hieuhieu08,15/5/2020 0:08,2500000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,chungphuong66,15/5/2020 0:36,2454000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,minhminh,15/5/2020 14:54,2400000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,nguyenhangvt,15/5/2020 15:09,2262000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,thangth,15/5/2020 15:16,2225000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,huongdn,15/5/2020 15:18,2204000,ctv,,,,,,,,,,,,,,,,
Mua Mpg,Quanthituat,15/5/2020 15:59,2200000,ctv,,,,,,,,,,,,,,,,
